ID,Name,Price,Description,Image,Category,Image2,Image3
Shi-001,RALPH LAUREN Export Off white blue Stripe Shirt,1200,"Premium Oxford Cotton Fabric
😌 Soft Feel | 👔 Luxury Look | 🌬️ All-Day Comfort",https://drive.google.com/file/d/1E1cpGNWpaTyzhtLK8-022fNP_zFgQxfZ/view?usp=sharing,Clothing,https://drive.google.com/file/d/1-eRP8sI-jqc4EMIOcVM78ap89r-caw3X/view?usp=sharing,https://drive.google.com/file/d/13sALZ3TX201d7hHgHI58zxRxHrIzO35o/view?usp=sharing
Shi-002,RALPH LAUREN Export papaya green Solid Shirt,1200,"Premium Oxford Cotton Fabric
😌 Soft Feel | 👔 Luxury Look | 🌬️ All-Day Comfort",https://drive.google.com/file/d/1qq6A_DDjOd-nFy_K4ZOBjVTP7RcYqcga/view?usp=sharing,Clothing,https://drive.google.com/file/d/131UgER4IUSKs2r5rYkCTStvOEsb0jqGP/view?usp=sharing,
Shi-003,RALPH LAUREN Export Grey Solid Shirt,1200,"Premium Oxford Cotton Fabric
😌 Soft Feel | 👔 Luxury Look | 🌬️ All-Day Comfort",https://drive.google.com/file/d/1Z6RNutLHwDi1iklxUydtKqkAkl2dJFiI/view?usp=sharing,Clothing,https://drive.google.com/file/d/12bDzEI8f8zGi_BqYCESmipm4FnUJeio5/view?usp=sharing,
